id,nama,created_at,updated_at,deleted
1,BUNGURSARI,1/1/2023 0:00,1/1/2023 0:00,0
2,CIHIDEUNG,1/1/2023 0:00,1/1/2023 0:00,0
3,TAWANG,1/1/2023 0:00,1/1/2023 0:00,0
4,CIPEDES,1/1/2023 0:00,1/1/2023 0:00,0
5,INDIHIANG,1/1/2023 0:00,1/1/2023 0:00,0
6,CIBEUREUM,1/1/2023 0:00,1/1/2023 0:00,0
7,PURBARATU,1/1/2023 0:00,1/1/2023 0:00,0
8,TAMANSARI,1/1/2023 0:00,1/1/2023 0:00,0
9,KAWALU,1/1/2023 0:00,1/1/2023 0:00,0
10,MANGKUBUMI,1/1/2023 0:00,1/1/2023 0:00,0
11,CIGALONTANG,1/1/2023 0:00,1/1/2023 0:00,0
12,MANGUNREJA,1/1/2023 0:00,1/1/2023 0:00,0
13,SARIWANGI,1/1/2023 0:00,1/1/2023 0:00,0
14,SINGAPARNA,1/1/2023 0:00,1/1/2023 0:00,0
15,SUKARAME,1/1/2023 0:00,1/1/2023 0:00,0
16,TANJUNGJAYA,1/1/2023 0:00,1/1/2023 0:00,0
17,CISAYONG,1/1/2023 0:00,1/1/2023 0:00,0
18,LEUWISARI,1/1/2023 0:00,1/1/2023 0:00,0
19,PADAKEMBANG,1/1/2023 0:00,1/1/2023 0:00,0
20,RAJAPOLAH,1/1/2023 0:00,1/1/2023 0:00,0
21,SUKAHENING,1/1/2023 0:00,1/1/2023 0:00,0
22,SUKARATU,1/1/2023 0:00,1/1/2023 0:00,0
23,CIAWI,1/1/2023 0:00,1/1/2023 0:00,0
24,JAMANIS,1/1/2023 0:00,1/1/2023 0:00,0
25,KADIPATEN,1/1/2023 0:00,1/1/2023 0:00,0
26,PAGERAGEUNG,1/1/2023 0:00,1/1/2023 0:00,0
27,SUKARESIK,1/1/2023 0:00,1/1/2023 0:00,0
28,CINEAM,1/1/2023 0:00,1/1/2023 0:00,0
29,GUNUNGTANJUNG,1/1/2023 0:00,1/1/2023 0:00,0
30,JATIWARAS,1/1/2023 0:00,1/1/2023 0:00,0
31,KARANGJAYA,1/1/2023 0:00,1/1/2023 0:00,0
32,MANONJAYA,1/1/2023 0:00,1/1/2023 0:00,0
33,SALOPA,1/1/2023 0:00,1/1/2023 0:00,0
34,CIKALONG,1/1/2023 0:00,1/1/2023 0:00,0
35,CIKATOMAS,1/1/2023 0:00,1/1/2023 0:00,0
36,KARANGNUNGGAL,1/1/2023 0:00,1/1/2023 0:00,0
37,PANCATENGAH,1/1/2023 0:00,1/1/2023 0:00,0
38,BANTARKALONG,1/1/2023 0:00,1/1/2023 0:00,0
39,BOJONGASIH,1/1/2023 0:00,1/1/2023 0:00,0
40,CIBALONG,1/1/2023 0:00,1/1/2023 0:00,0
41,CIPATUJAH,1/1/2023 0:00,1/1/2023 0:00,0
42,CULAMEGA,1/1/2023 0:00,1/1/2023 0:00,0
43,PARUNGPONTENG,1/1/2023 0:00,1/1/2023 0:00,0
44,SUKARAJA,1/1/2023 0:00,1/1/2023 0:00,0
45,BOJONGGAMBIR,1/1/2023 0:00,1/1/2023 0:00,0
46,PUSPAHIANG,1/1/2023 0:00,1/1/2023 0:00,0
47,SALAWU,1/1/2023 0:00,1/1/2023 0:00,0
48,SODONGHILIR,1/1/2023 0:00,1/1/2023 0:00,0
49,TARAJU,1/1/2023 0:00,1/1/2023 0:00,0
50,BANYURESMI,1/1/2023 0:00,1/1/2023 0:00,0
51,KADUNGORA,1/1/2023 0:00,1/1/2023 0:00,0
52,LELES,1/1/2023 0:00,1/1/2023 0:00,0
53,TAROGONG KALER,1/1/2023 0:00,1/1/2023 0:00,0
54,TAROGONG KIDUL,1/1/2023 0:00,1/1/2023 0:00,0
55,BL. LIMBANGAN,1/1/2023 0:00,1/1/2023 0:00,0
56,CIBATU,1/1/2023 0:00,1/1/2023 0:00,0
57,CIBIUK,1/1/2023 0:00,1/1/2023 0:00,0
58,KERSAMANAH,1/1/2023 0:00,1/1/2023 0:00,0
59,LEUWIGOONG,1/1/2023 0:00,1/1/2023 0:00,0
60,MALANGBONG,1/1/2023 0:00,1/1/2023 0:00,0
61,SELAAWI,1/1/2023 0:00,1/1/2023 0:00,0
62,GARUT KOTA,1/1/2023 0:00,1/1/2023 0:00,0
63,KARANGPAWITAN,1/1/2023 0:00,1/1/2023 0:00,0
64,KARANGTENGAH,1/1/2023 0:00,1/1/2023 0:00,0
65,PANGATIKAN,1/1/2023 0:00,1/1/2023 0:00,0
66,SUCINARAJA,1/1/2023 0:00,1/1/2023 0:00,0
67,SUKAWENING,1/1/2023 0:00,1/1/2023 0:00,0
68,WANARAJA,1/1/2023 0:00,1/1/2023 0:00,0
69,BAYONGBONG,1/1/2023 0:00,1/1/2023 0:00,0
70,CIGEDUG,1/1/2023 0:00,1/1/2023 0:00,0
71,CILAWU,1/1/2023 0:00,1/1/2023 0:00,0
72,PASIRWANGI,1/1/2023 0:00,1/1/2023 0:00,0
73,SAMARANG,1/1/2023 0:00,1/1/2023 0:00,0
74,BANJARWANGI,1/1/2023 0:00,1/1/2023 0:00,0
75,CIHURIP,1/1/2023 0:00,1/1/2023 0:00,0
76,CIKAJANG,1/1/2023 0:00,1/1/2023 0:00,0
77,CISOMPET,1/1/2023 0:00,1/1/2023 0:00,0
78,CISURUPAN,1/1/2023 0:00,1/1/2023 0:00,0
79,PEUNDEUY,1/1/2023 0:00,1/1/2023 0:00,0
80,SINGAJAYA,1/1/2023 0:00,1/1/2023 0:00,0
81,SUKARESMI,1/1/2023 0:00,1/1/2023 0:00,0
82,BUNGBULANG,1/1/2023 0:00,1/1/2023 0:00,0
83,CARINGIN,1/1/2023 0:00,1/1/2023 0:00,0
84,CIKELET,1/1/2023 0:00,1/1/2023 0:00,0
85,CISEWU,1/1/2023 0:00,1/1/2023 0:00,0
86,MEKARMUKTI,1/1/2023 0:00,1/1/2023 0:00,0
87,PAKENJENG,1/1/2023 0:00,1/1/2023 0:00,0
88,PAMEUNGPEUK,1/1/2023 0:00,1/1/2023 0:00,0
89,PAMULIHAN,1/1/2023 0:00,1/1/2023 0:00,0
90,TALEGONG,1/1/2023 0:00,1/1/2023 0:00,0
